WigleWifi-1.4,appRelease=2.25,model=LG-V400,release=5.0.2,device=e7wifi,display=LRX22G,board=MSM8226,brand=lge
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
14:ae:db:53:3f:15,tamir_bezeq,[WPA2-PSK-CCMP][ESS],2017-10-29 17:52:32,11,-47,32.10451963,35.20129614,646,21,WIFI
1c:af:f7:6e:8e:41,Ira,[WPA2-PSK-CCMP][ESS],2017-10-29 17:52:32,6,-63,32.10451963,35.20129614,646,21,WIFI
6c:2e:85:fe:a9:17,Vova,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-29 17:52:32,11,-67,32.10451963,35.20129614,646,21,WIFI
14:ae:db:52:b4:55,michael1,[WPA2-PSK-CCMP][ESS],2017-10-29 17:52:32,6,-76,32.10451963,35.20129614,646,21,WIFI
06:ae:db:52:b4:55,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-10-29 17:52:32,6,-82,32.10451963,35.20129614,646,21,WIFI
c0:a0:bb:cc:20:8d,sevta 2.4,[WPA2-PSK-CCMP][ESS],2017-10-29 17:52:32,1,-76,32.10451963,35.20129614,646,21,WIFI
c8:d3:a3:21:4b:e9,itay_Home,[WPA2-PSK-CCMP][ESS],2017-10-29 17:52:32,9,-79,32.10451963,35.20129614,646,21,WIFI
5a:a0:bb:cc:20:8e,Bezeq Free,[ESS],2017-10-29 17:52:32,1,-74,32.10451963,35.20129614,646,21,WIFI
c4:04:15:49:26:ce,Almog,[WPA2-PSK-CCMP][WPS][ESS],2017-10-29 17:52:32,1,-83,32.10451963,35.20129614,646,21,WIFI
6c:19:8f:4b:19:2c,alina,[WPA2-PSK-CCMP][ESS],2017-10-29 17:52:32,6,-89,32.10451963,35.20129614,646,21,WIFI
84:26:15:e9:c2:13,DIM@NET,[ESS],2017-10-29 17:52:32,11,-83,32.10451963,35.20129614,646,21,WIFI
72:19:8f:4b:19:2d,Bezeq Free,[ESS],2017-10-29 17:52:32,6,-89,32.10451963,35.20129614,646,21,WIFI
14:ae:db:c9:94:e5,Lian,[WPA2-PSK-CCMP][ESS],2017-10-29 17:52:32,11,-81,32.10451963,35.20129614,646,21,WIFI
14:af:db:cd:39:3a,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-10-29 17:52:32,7,-89,32.10451963,35.20129614,646,21,WIFI
10:0d:7f:85:89:50,Bezeq-n_8950,[WPA2-PSK-CCMP][WPS][ESS],2017-10-29 17:52:32,11,-88,32.10451963,35.20129614,646,21,WIFI
a0:ab:1b:64:2c:40,jordan,[WPA2-PSK-CCMP][ESS],2017-10-29 17:52:32,5,-87,32.10451963,35.20129614,646,21,WIFI
00:8c:54:8e:f3:81,Home 123,[WPA2-PSK-CCMP][ESS],2017-10-29 17:52:32,1,-81,32.10451963,35.20129614,646,21,WIFI
48:ee:0c:3d:d7:39,KATYA,[WPA2-PSK-CCMP][ESS],2017-10-29 17:52:32,9,-84,32.10451963,35.20129614,646,21,WIFI
14:ae:db:cd:39:3a,liad,[WPA2-PSK-CCMP][ESS],2017-10-29 17:52:32,7,-87,32.10451963,35.20129614,646,21,WIFI
14:ae:db:59:28:8d,46534736,[WPA2-PSK-CCMP][ESS],2017-10-29 17:52:32,6,-86,32.10451963,35.20129614,646,21,WIFI
14:ae:db:53:5a:f5,taitel,[WPA2-PSK-CCMP][ESS],2017-10-29 17:52:32,6,-90,32.10451963,35.20129614,646,21,WIFI
14:ae:db:cc:97:8d,BEZEQINT-9789,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-29 17:52:32,11,-85,32.10451963,35.20129614,646,21,WIFI
10:be:f5:38:82:b0,dira,[WPA2-PSK-CCMP][ESS],2017-10-29 17:52:32,1,-86,32.10451963,35.20129614,646,21,WIFI
c4:12:f5:f9:50:e2,WifiAshka,[WPA2-PSK-CCMP][ESS],2017-10-29 17:52:32,2,-86,32.10451963,35.20129614,646,21,WIFI
10:5a:f7:09:ed:69,mor2.4,[WPA2-PSK-CCMP][ESS],2017-10-29 17:52:32,1,-87,32.10451963,35.20129614,646,21,WIFI
14:ae:db:c1:db:45,ohad,[WPA2-PSK-CCMP][ESS],2017-10-29 17:52:32,1,-89,32.10451963,35.20129614,646,21,WIFI
06:ae:db:c9:94:e5,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-10-29 17:52:32,11,-79,32.10451963,35.20129614,646,21,WIFI
c4:04:15:49:26:ce,Almog,[WPA2-PSK-CCMP][WPS][ESS],2017-10-29 17:52:35,1,-78,32.1045187,35.20130997,648,10,WIFI
10:0d:7f:85:89:50,Bezeq-n_8950,[WPA2-PSK-CCMP][WPS][ESS],2017-10-29 17:52:35,11,-83,32.1045187,35.20130997,648,10,WIFI
f0:7d:68:75:28:9a,leonid,[WPA2-PSK-CCMP][ESS],2017-10-29 17:52:38,6,-87,32.10448075,35.201356,650,7,WIFI
14:ae:db:c1:1a:e5,danielle1,[WPA2-PSK-CCMP][ESS],2017-10-29 17:52:38,11,-88,32.10448075,35.201356,650,7,WIFI
6c:19:8f:4b:19:2c,alina,[WPA2-PSK-CCMP][ESS],2017-10-29 17:52:41,6,-84,32.1044609,35.20138051,652,5,WIFI
14:ae:db:bd:ad:72,Ruslan_Roza,[WPA2-PSK-CCMP][ESS],2017-10-29 17:52:41,9,-87,32.1044609,35.20138051,652,5,WIFI
e8:fc:af:89:95:9e,Dira-1,[WPA2-PSK-CCMP][WPS][ESS],2017-10-29 17:52:41,11,-88,32.1044609,35.20138051,652,5,WIFI
02:1a:11:ff:d8:d1,Nadav's Phone,[WPA2-PSK-CCMP][ESS],2017-10-29 17:52:41,6,-89,32.1044609,35.20138051,652,5,WIFI
14:ae:db:56:31:c5,BEZEQINT-31C1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-29 17:52:44,11,-85,32.10445725,35.20138409,653,5,WIFI
a0:ab:1b:58:f1:68,Saruly1,[WPA2-PSK-CCMP][ESS],2017-10-29 17:52:44,13,-87,32.10445725,35.20138409,653,5,WIFI
00:26:5a:03:dc:0a,Sola,[WEP][ESS],2017-10-29 17:52:44,6,-90,32.10445725,35.20138409,653,5,WIFI
06:ae:db:c1:db:45,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-10-29 17:52:56,1,-86,32.10445633,35.2013868,655,5,WIFI
e8:94:f6:01:ef:d4,Gleizer,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-29 17:53:09,3,-84,32.1044565,35.20138579,656,4,WIFI
72:19:8f:4b:19:2d,Bezeq Free,[ESS],2017-10-29 17:53:14,6,-83,32.10445696,35.20138602,656,5,WIFI
06:ae:db:52:b4:55,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-10-29 17:53:20,6,-74,32.10445691,35.20138639,656,6,WIFI
10:be:f5:43:06:7c,Michal_ro770,[WPA2-PSK-CCMP][ESS],2017-10-29 17:53:20,10,-87,32.10445691,35.20138639,656,6,WIFI
e8:d1:1b:73:77:7a,dera 1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-29 17:53:23,6,-86,32.10445668,35.20138671,656,6,WIFI
ac:f1:df:9f:c6:b9,felix1985,[WEP][ESS],2017-10-29 17:53:23,1,-90,32.10445668,35.20138671,656,6,WIFI
e8:d1:1b:73:6a:bc,michal,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-29 17:53:26,6,-88,32.10445624,35.20138689,656,6,WIFI
ac:f1:df:9f:c6:b9,felix1985,[WEP][ESS],2017-10-29 17:53:38,1,-81,32.10447651,35.2013842,658,12,WIFI
e8:fc:af:89:95:9e,Dira-1,[WPA2-PSK-CCMP][WPS][ESS],2017-10-29 17:53:58,11,-83,32.10445298,35.20144027,657,11,WIFI
14:ae:db:cc:97:8d,BEZEQINT-9789,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-29 17:54:01,11,-78,32.1044528,35.20144042,657,13,WIFI
84:26:15:e9:c2:13,DIM@NET,[ESS],2017-10-29 17:54:05,11,-78,32.10445268,35.20144057,657,11,WIFI
c4:e9:84:9a:e2:1b,Olpri1,[WPA2-PSK-CCMP][WPS][ESS],2017-10-29 17:54:16,6,-87,32.10445245,35.20144099,657,11,WIFI
c4:12:f5:fd:f2:dc,Elyaho,[WPA2-PSK-CCMP][ESS],2017-10-29 17:54:31,1,-87,32.10445254,35.20144134,657,11,WIFI
f4:f2:6d:57:15:1c,IG9291375TrojanSto,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-29 17:54:44,3,-92,32.10445257,35.20144158,657,11,WIFI
dc:ee:06:16:d9:e1,HUAWEI-E8231-d9e1,[WPA2-PSK-CCMP][WPS][ESS],2017-10-29 17:54:59,6,-80,32.10445213,35.20144185,657,11,WIFI
dc:ee:06:16:d9:e1,HUAWEI-E8231-d9e1,[WPA2-PSK-CCMP][WPS][ESS],2017-10-29 17:55:05,6,-73,32.10445217,35.20144208,657,10,WIFI
dc:ee:06:16:d9:e1,HUAWEI-E8231-d9e1,[WPA2-PSK-CCMP][WPS][ESS],2017-10-29 17:55:10,6,-67,32.10445267,35.20144237,657,10,WIFI
00:26:5a:03:dc:0a,Sola,[WEP][ESS],2017-10-29 17:55:13,6,-85,32.10445271,35.20144243,657,11,WIFI
1c:af:f7:6e:8e:41,Ira,[WPA2-PSK-CCMP][ESS],2017-10-29 17:55:16,6,-57,32.10445251,35.20144246,657,10,WIFI
74:ea:3a:fb:00:4e,TP-LINK,[WPA2-PSK-CCMP+TKIP-preauth][ESS],2017-10-29 17:55:16,1,-87,32.10445251,35.20144246,657,10,WIFI
06:ae:db:c1:1a:e5,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-10-29 17:55:31,11,-87,32.10445219,35.20144272,657,9,WIFI
